,age,education,familyId,homeId,homeX,homeY,infected,infectionTime,schoolId,sex,type,workplaceId
1,16,13,0,80,481.9074660658744,491.82147819553,False,0,0,Female,working,0
2,46,13,0,80,481.9074660658744,491.82147819553,False,0,0,Male,working,0
3,16,13,0,80,481.9074660658744,491.82147819553,False,0,0,Male,student,0
4,6,3,0,80,481.9074660658744,491.82147819553,False,0,0,Female,student,0
5,12,9,0,80,481.9074660658744,491.82147819553,False,0,0,Female,student,0
6,8,8,1,5,607.2752464669429,170.65919307271093,False,0,0,Female,working,0
7,32,12,1,5,607.2752464669429,170.65919307271093,False,0,0,Male,working,0
8,8,5,1,5,607.2752464669429,170.65919307271093,False,0,0,Female,student,0
9,8,11,2,153,354.8622949242638,831.9433738431247,False,0,0,Female,working,0
10,47,10,2,153,354.8622949242638,831.9433738431247,False,0,0,Male,working,0
11,8,5,2,153,354.8622949242638,831.9433738431247,False,0,0,Female,student,0
12,6,3,2,153,354.8622949242638,831.9433738431247,False,0,0,Female,student,0
13,15,11,3,28,536.20714026112,549.5431096313423,False,0,0,Female,working,0
14,43,12,3,28,536.20714026112,549.5431096313423,False,0,0,Male,working,0
15,15,12,3,28,536.20714026112,549.5431096313423,False,0,0,Male,student,0
16,5,12,4,52,47.48611711025852,325.930525963531,False,0,0,Female,working,0
17,49,14,4,52,47.48611711025852,325.930525963531,False,0,0,Male,working,0
18,5,2,4,52,47.48611711025852,325.930525963531,False,0,0,Male,student,0
19,10,11,5,56,400.68543010488366,640.5482849439502,False,0,0,Female,working,0
20,38,13,5,56,400.68543010488366,640.5482849439502,False,0,0,Male,working,0
21,10,7,5,56,400.68543010488366,640.5482849439502,False,0,0,Male,student,0
22,6,3,5,56,400.68543010488366,640.5482849439502,False,0,0,Female,student,0
23,11,8,5,56,400.68543010488366,640.5482849439502,False,0,0,Female,student,0
24,11,14,6,283,178.9345593963757,82.82260418237153,False,0,0,Female,working,0
25,49,16,6,283,178.9345593963757,82.82260418237153,False,0,0,Male,working,0
26,11,8,6,283,178.9345593963757,82.82260418237153,False,0,0,Female,student,0
27,10,7,6,283,178.9345593963757,82.82260418237153,False,0,0,Female,student,0
28,11,8,6,283,178.9345593963757,82.82260418237153,False,0,0,Female,student,0
29,11,13,7,497,448.7595928277515,162.32190164298922,False,0,0,Female,working,0
30,41,14,7,497,448.7595928277515,162.32190164298922,False,0,0,Male,working,0
31,11,8,7,497,448.7595928277515,162.32190164298922,False,0,0,Male,student,0
32,13,10,7,497,448.7595928277515,162.32190164298922,False,0,0,Male,student,0
33,10,15,8,198,113.26893144486871,65.22495644453474,False,0,0,Female,working,0
34,36,12,8,198,113.26893144486871,65.22495644453474,False,0,0,Male,working,0
35,10,7,8,198,113.26893144486871,65.22495644453474,False,0,0,Male,student,0
36,12,15,9,110,338.89256750808636,22.720002657899087,False,0,0,Female,working,0
37,37,10,9,110,338.89256750808636,22.720002657899087,False,0,0,Male,working,0
38,12,9,9,110,338.89256750808636,22.720002657899087,False,0,0,Male,student,0
39,15,12,9,110,338.89256750808636,22.720002657899087,False,0,0,Male,student,0
40,15,12,9,110,338.89256750808636,22.720002657899087,False,0,0,Male,student,0
41,8,10,10,484,495.6543540149121,918.2535625726678,False,0,0,Female,working,0
42,41,10,10,484,495.6543540149121,918.2535625726678,False,0,0,Male,working,0
43,8,5,10,484,495.6543540149121,918.2535625726678,False,0,0,Female,student,0
44,16,11,11,361,76.14862669228728,530.61381392217,False,0,0,Female,working,0
45,43,11,11,361,76.14862669228728,530.61381392217,False,0,0,Male,working,0
46,16,13,11,361,76.14862669228728,530.61381392217,False,0,0,Male,student,0
47,10,7,11,361,76.14862669228728,530.61381392217,False,0,0,Male,student,0
48,12,9,11,361,76.14862669228728,530.61381392217,False,0,0,Male,student,0
49,5,14,12,89,594.5996904144737,278.53690490744475,False,0,0,Female,working,0
50,36,12,12,89,594.5996904144737,278.53690490744475,False,0,0,Male,working,0
51,5,2,12,89,594.5996904144737,278.53690490744475,False,0,0,Female,student,0
52,11,8,12,89,594.5996904144737,278.53690490744475,False,0,0,Female,student,0
53,45,0,13,318,946.1809705523664,731.2703778557216,False,0,0,Male,working,0
54,43,0,13,318,946.1809705523664,731.2703778557216,False,0,0,Female,working,0
55,6,10,14,274,263.61190252522584,252.16786259296197,False,0,0,Female,working,0
56,41,13,14,274,263.61190252522584,252.16786259296197,False,0,0,Male,working,0
57,6,3,14,274,263.61190252522584,252.16786259296197,False,0,0,Male,student,0
58,16,13,14,274,263.61190252522584,252.16786259296197,False,0,0,Female,student,0
59,10,13,15,93,102.41949690646179,341.28123841360383,False,0,0,Female,working,0
60,49,16,15,93,102.41949690646179,341.28123841360383,False,0,0,Male,working,0
61,10,7,15,93,102.41949690646179,341.28123841360383,False,0,0,Male,student,0
62,6,3,15,93,102.41949690646179,341.28123841360383,False,0,0,Male,student,0
63,7,13,16,122,425.744695414983,235.71958148559125,False,0,0,Female,working,0
64,30,16,16,122,425.744695414983,235.71958148559125,False,0,0,Male,working,0
65,7,4,16,122,425.744695414983,235.71958148559125,False,0,0,Male,student,0
66,50,0,17,435,703.6907767484033,429.3258517109153,False,0,0,Male,working,0
67,48,0,17,435,703.6907767484033,429.3258517109153,False,0,0,Female,working,0
68,7,8,18,137,612.9733149999544,799.26735448745,False,0,0,Female,working,0
69,38,16,18,137,612.9733149999544,799.26735448745,False,0,0,Male,working,0
70,7,4,18,137,612.9733149999544,799.26735448745,False,0,0,Male,student,0
71,12,7,19,355,777.3338724397383,939.6319474975302,False,0,0,Female,working,0
72,38,13,19,355,777.3338724397383,939.6319474975302,False,0,0,Male,working,0
73,12,9,19,355,777.3338724397383,939.6319474975302,False,0,0,Male,student,0
74,15,12,19,355,777.3338724397383,939.6319474975302,False,0,0,Male,student,0
75,11,8,19,355,777.3338724397383,939.6319474975302,False,0,0,Male,student,0
76,16,11,20,95,847.2260815664761,206.99086053428172,False,0,0,Female,working,0
77,42,10,20,95,847.2260815664761,206.99086053428172,False,0,0,Male,working,0
78,16,13,20,95,847.2260815664761,206.99086053428172,False,0,0,Female,student,0
79,9,6,20,95,847.2260815664761,206.99086053428172,False,0,0,Female,student,0
80,12,9,20,95,847.2260815664761,206.99086053428172,False,0,0,Male,student,0
81,6,14,21,4,872.1659054940782,449.49632331537117,False,0,0,Female,working,0
82,39,15,21,4,872.1659054940782,449.49632331537117,False,0,0,Male,working,0
83,6,3,21,4,872.1659054940782,449.49632331537117,False,0,0,Female,student,0
84,12,9,21,4,872.1659054940782,449.49632331537117,False,0,0,Male,student,0
85,10,12,22,271,525.1078588747096,330.87073446876616,False,0,0,Female,working,0
86,46,15,22,271,525.1078588747096,330.87073446876616,False,0,0,Male,working,0
87,10,7,22,271,525.1078588747096,330.87073446876616,False,0,0,Female,student,0
88,8,5,22,271,525.1078588747096,330.87073446876616,False,0,0,Female,student,0
89,11,7,23,101,622.5982778809066,179.8081705088742,False,0,0,Female,working,0
90,44,11,23,101,622.5982778809066,179.8081705088742,False,0,0,Male,working,0
91,11,8,23,101,622.5982778809066,179.8081705088742,False,0,0,Male,student,0
92,34,0,24,6,4.272243190904468,857.7757635931118,False,0,0,Male,working,0
93,32,0,24,6,4.272243190904468,857.7757635931118,False,0,0,Female,working,0
94,37,0,25,73,97.36101157798561,868.2745138720961,False,0,0,Male,working,0
95,35,0,25,73,97.36101157798561,868.2745138720961,False,0,0,Female,working,0
96,32,0,26,397,720.059717504594,690.5780672455408,False,0,0,Male,working,0
97,30,0,26,397,720.059717504594,690.5780672455408,False,0,0,Female,working,0
98,15,13,27,234,807.4185692361563,804.6519340081132,False,0,0,Female,working,0
99,41,10,27,234,807.4185692361563,804.6519340081132,False,0,0,Male,working,0
100,15,12,27,234,807.4185692361563,804.6519340081132,False,0,0,Male,student,0
101,6,15,28,37,305.25678814225546,655.7857987692869,False,0,0,Female,working,0
102,50,12,28,37,305.25678814225546,655.7857987692869,False,0,0,Male,working,0
103,6,3,28,37,305.25678814225546,655.7857987692869,False,0,0,Female,student,0
104,13,11,29,237,226.38199367956014,649.45765561247,False,0,0,Female,working,0
105,41,16,29,237,226.38199367956014,649.45765561247,False,0,0,Male,working,0
106,13,10,29,237,226.38199367956014,649.45765561247,False,0,0,Male,student,0
107,16,11,30,164,875.5286721595788,656.500854673973,False,0,0,Female,working,0
108,44,16,30,164,875.5286721595788,656.500854673973,False,0,0,Male,working,0
109,16,13,30,164,875.5286721595788,656.500854673973,False,0,0,Female,student,0
110,11,8,30,164,875.5286721595788,656.500854673973,False,0,0,Female,student,0
111,13,10,30,164,875.5286721595788,656.500854673973,False,0,0,Male,student,0
112,34,0,31,420,670.6082813596871,513.3764606059624,False,0,0,Male,working,0
113,32,0,31,420,670.6082813596871,513.3764606059624,False,0,0,Female,working,0
114,5,10,32,459,567.4071392210792,870.7387411796543,False,0,0,Female,working,0
115,38,16,32,459,567.4071392210792,870.7387411796543,False,0,0,Male,working,0
116,5,2,32,459,567.4071392210792,870.7387411796543,False,0,0,Male,student,0
117,11,15,33,329,402.12068073668314,231.2110118458207,False,0,0,Female,working,0
118,40,16,33,329,402.12068073668314,231.2110118458207,False,0,0,Male,working,0
119,11,8,33,329,402.12068073668314,231.2110118458207,False,0,0,Male,student,0
120,6,11,34,80,478.76882518446797,514.6580371300037,False,0,0,Female,working,0
121,39,15,34,80,478.76882518446797,514.6580371300037,False,0,0,Male,working,0
122,6,3,34,80,478.76882518446797,514.6580371300037,False,0,0,Male,student,0
123,6,3,34,80,478.76882518446797,514.6580371300037,False,0,0,Female,student,0
124,8,13,35,102,544.4857236678231,618.6976499119714,False,0,0,Female,working,0
125,44,11,35,102,544.4857236678231,618.6976499119714,False,0,0,Male,working,0
126,8,5,35,102,544.4857236678231,618.6976499119714,False,0,0,Female,student,0
127,15,9,36,194,439.4585617429136,112.76881454942223,False,0,0,Female,working,0
128,45,11,36,194,439.4585617429136,112.76881454942223,False,0,0,Male,working,0
129,15,12,36,194,439.4585617429136,112.76881454942223,False,0,0,Female,student,0
130,5,2,36,194,439.4585617429136,112.76881454942223,False,0,0,Female,student,0
131,6,3,36,194,439.4585617429136,112.76881454942223,False,0,0,Female,student,0
132,49,0,37,208,853.131253448652,141.41334584024133,False,0,0,Male,working,0
133,47,0,37,208,853.131253448652,141.41334584024133,False,0,0,Female,working,0
134,48,0,38,372,311.2364944657495,737.887464912489,False,0,0,Male,working,0
135,46,0,38,372,311.2364944657495,737.887464912489,False,0,0,Female,working,0
136,14,15,39,175,668.2689261768214,131.53771613759025,False,0,0,Female,working,0
137,42,12,39,175,668.2689261768214,131.53771613759025,False,0,0,Male,working,0
138,14,11,39,175,668.2689261768214,131.53771613759025,False,0,0,Male,student,0
139,10,12,40,33,954.5998479690932,90.15703629220751,False,0,0,Female,working,0
140,32,11,40,33,954.5998479690932,90.15703629220751,False,0,0,Male,working,0
141,10,7,40,33,954.5998479690932,90.15703629220751,False,0,0,Female,student,0
142,6,7,41,18,226.98459677363215,317.16244566701846,False,0,0,Female,working,0
143,44,13,41,18,226.98459677363215,317.16244566701846,False,0,0,Male,working,0
144,6,3,41,18,226.98459677363215,317.16244566701846,False,0,0,Male,student,0
145,11,8,41,18,226.98459677363215,317.16244566701846,False,0,0,Female,student,0
146,5,12,42,426,442.21135698061573,925.8719274904886,False,0,0,Female,working,0
147,46,16,42,426,442.21135698061573,925.8719274904886,False,0,0,Male,working,0
148,5,2,42,426,442.21135698061573,925.8719274904886,False,0,0,Male,student,0
149,15,12,42,426,442.21135698061573,925.8719274904886,False,0,0,Female,student,0
150,12,9,43,162,123.07870882230021,739.4544784250166,False,0,0,Female,working,0
151,37,14,43,162,123.07870882230021,739.4544784250166,False,0,0,Male,working,0
152,12,9,43,162,123.07870882230021,739.4544784250166,False,0,0,Female,student,0
153,5,2,43,162,123.07870882230021,739.4544784250166,False,0,0,Female,student,0
154,8,5,43,162,123.07870882230021,739.4544784250166,False,0,0,Male,student,0
155,16,8,44,302,689.0141788486144,697.56659020303,False,0,0,Female,working,0
156,37,13,44,302,689.0141788486144,697.56659020303,False,0,0,Male,working,0
157,16,13,44,302,689.0141788486144,697.56659020303,False,0,0,Male,student,0
158,5,2,44,302,689.0141788486144,697.56659020303,False,0,0,Female,student,0
159,8,5,44,302,689.0141788486144,697.56659020303,False,0,0,Female,student,0
160,7,10,45,338,482.9717584238362,833.9358408841057,False,0,0,Female,working,0
161,50,10,45,338,482.9717584238362,833.9358408841057,False,0,0,Male,working,0
162,7,4,45,338,482.9717584238362,833.9358408841057,False,0,0,Male,student,0
163,16,13,45,338,482.9717584238362,833.9358408841057,False,0,0,Male,student,0
164,15,12,45,338,482.9717584238362,833.9358408841057,False,0,0,Female,student,0
165,13,7,46,313,608.7712368863715,910.5248142030608,False,0,0,Female,working,0
166,31,15,46,313,608.7712368863715,910.5248142030608,False,0,0,Male,working,0
167,13,10,46,313,608.7712368863715,910.5248142030608,False,0,0,Female,student,0
168,6,3,46,313,608.7712368863715,910.5248142030608,False,0,0,Female,student,0
169,5,2,46,313,608.7712368863715,910.5248142030608,False,0,0,Male,student,0
170,8,7,47,479,293.5827912093525,430.7750804890454,False,0,0,Female,working,0
171,34,13,47,479,293.5827912093525,430.7750804890454,False,0,0,Male,working,0
172,8,5,47,479,293.5827912093525,430.7750804890454,False,0,0,Female,student,0
173,16,13,47,479,293.5827912093525,430.7750804890454,False,0,0,Female,student,0
174,16,7,48,171,617.6509145418916,462.35146595430643,False,0,0,Female,working,0
175,31,14,48,171,617.6509145418916,462.35146595430643,False,0,0,Male,working,0
176,16,13,48,171,617.6509145418916,462.35146595430643,False,0,0,Male,student,0
177,10,7,48,171,617.6509145418916,462.35146595430643,False,0,0,Female,student,0
178,7,4,48,171,617.6509145418916,462.35146595430643,False,0,0,Male,student,0
179,10,8,49,247,82.48378454187666,851.0194436539396,False,0,0,Female,working,0
180,45,16,49,247,82.48378454187666,851.0194436539396,False,0,0,Male,working,0
181,10,7,49,247,82.48378454187666,851.0194436539396,False,0,0,Male,student,0
182,15,12,49,247,82.48378454187666,851.0194436539396,False,0,0,Male,student,0
183,6,3,49,247,82.48378454187666,851.0194436539396,False,0,0,Male,student,0
184,16,10,50,42,924.3491503449615,155.58060236858074,False,0,0,Female,working,0
185,41,16,50,42,924.3491503449615,155.58060236858074,False,0,0,Male,working,0
186,16,13,50,42,924.3491503449615,155.58060236858074,False,0,0,Female,student,0
187,6,3,50,42,924.3491503449615,155.58060236858074,False,0,0,Male,student,0
188,15,12,50,42,924.3491503449615,155.58060236858074,False,0,0,Male,student,0
189,45,0,51,256,240.21416288640464,294.2907641616235,False,0,0,Male,working,0
190,43,0,51,256,240.21416288640464,294.2907641616235,False,0,0,Female,working,0
191,7,9,52,271,501.9944591521706,348.623918059524,False,0,0,Female,working,0
192,48,15,52,271,501.9944591521706,348.623918059524,False,0,0,Male,working,0
193,7,4,52,271,501.9944591521706,348.623918059524,False,0,0,Male,student,0
194,12,9,52,271,501.9944591521706,348.623918059524,False,0,0,Male,student,0
195,9,9,53,408,854.0187301626235,797.2526869442025,False,0,0,Female,working,0
196,37,14,53,408,854.0187301626235,797.2526869442025,False,0,0,Male,working,0
197,9,6,53,408,854.0187301626235,797.2526869442025,False,0,0,Female,student,0
198,13,10,54,206,519.9242588441526,422.2330114249078,False,0,0,Female,working,0
199,34,11,54,206,519.9242588441526,422.2330114249078,False,0,0,Male,working,0
200,13,10,54,206,519.9242588441526,422.2330114249078,False,0,0,Male,student,0
201,6,3,54,206,519.9242588441526,422.2330114249078,False,0,0,Female,student,0
202,15,9,55,77,648.1389048732001,595.1339835536186,False,0,0,Female,working,0
203,33,15,55,77,648.1389048732001,595.1339835536186,False,0,0,Male,working,0
204,15,12,55,77,648.1389048732001,595.1339835536186,False,0,0,Male,student,0
205,12,9,55,77,648.1389048732001,595.1339835536186,False,0,0,Male,student,0
206,14,11,55,77,648.1389048732001,595.1339835536186,False,0,0,Female,student,0
207,12,8,56,8,614.6064210925949,564.3261815338258,False,0,0,Female,working,0
208,50,11,56,8,614.6064210925949,564.3261815338258,False,0,0,Male,working,0
209,12,9,56,8,614.6064210925949,564.3261815338258,False,0,0,Male,student,0
210,14,7,57,427,652.4807960137891,429.9724617637981,False,0,0,Female,working,0
211,30,11,57,427,652.4807960137891,429.9724617637981,False,0,0,Male,working,0
212,14,11,57,427,652.4807960137891,429.9724617637981,False,0,0,Male,student,0
213,9,15,58,480,483.582498975055,428.532114224011,False,0,0,Female,working,0
214,48,16,58,480,483.582498975055,428.532114224011,False,0,0,Male,working,0
215,9,6,58,480,483.582498975055,428.532114224011,False,0,0,Male,student,0
216,9,6,58,480,483.582498975055,428.532114224011,False,0,0,Male,student,0
217,15,12,58,480,483.582498975055,428.532114224011,False,0,0,Female,student,0
218,38,0,59,218,794.2563464557671,162.92920727821846,False,0,0,Male,working,0
219,36,0,59,218,794.2563464557671,162.92920727821846,False,0,0,Female,working,0
220,11,15,60,345,660.9474465026774,656.3164643499234,False,0,0,Female,working,0
221,36,13,60,345,660.9474465026774,656.3164643499234,False,0,0,Male,working,0
222,11,8,60,345,660.9474465026774,656.3164643499234,False,0,0,Male,student,0
223,9,6,60,345,660.9474465026774,656.3164643499234,False,0,0,Female,student,0
224,15,7,61,305,810.6070014521582,107.16960467981363,False,0,0,Female,working,0
225,38,14,61,305,810.6070014521582,107.16960467981363,False,0,0,Male,working,0
