,nodes
1,"[26, 31, 36, 33, 20, 28, 6, 38, 25, 29, 17, 48, 7]"
2,"[15, 47, 45, 42, 3, 30, 10, 34, 36, 31, 26, 33]"
3,"[27, 12, 44, 37, 11, 22, 18, 14, 5]"
4,"[28, 6, 38, 25, 29, 17, 48, 7, 19, 35, 23]"
5,"[18, 22, 37, 11, 49, 9, 39, 40, 41, 1, 21, 46]"
6,"[40, 41, 1, 21, 46, 4, 43, 32, 39, 9]"
7,"[12, 44, 27, 14, 18, 22, 37, 11, 49, 9, 39]"
8,"[6, 28, 20, 33, 26, 31, 36, 34, 13, 10, 30]"
9,"[4, 43, 32, 39, 9, 49, 11, 37, 22]"
10,"[26, 31, 36, 33, 20, 28, 6, 38, 25, 29, 17, 48, 7]"
11,"[9, 49, 39, 40, 41, 1, 21, 46, 4, 43, 32, 11]"
12,"[32, 39, 9, 49, 11, 37, 22, 18, 14, 5, 8]"
13,"[4, 43, 32, 39, 9, 49, 11, 37, 22, 18, 14, 5]"
14,"[21, 1, 41, 40, 9, 49, 39, 32, 43]"
15,"[34, 36, 31, 26, 33, 20, 28, 6, 38, 25, 29, 17]"
16,"[31, 26, 33, 20, 28, 6, 38, 25, 29, 17, 48]"
17,"[41, 1, 21, 46, 4, 43, 32, 39, 9, 49, 11, 37]"
18,"[7, 19, 48, 33, 20, 26, 31, 36, 34]"
19,"[29, 17, 25, 38, 2, 28, 6, 20, 33]"
20,"[32, 39, 9, 49, 11, 37, 22, 18, 14]"
21,"[47, 15, 45, 42, 3, 30, 10, 34, 36, 31, 26]"
22,"[8, 5, 14, 18, 22, 37, 11, 49, 9, 39, 40]"
23,"[6, 28, 20, 33, 26, 31, 36, 34, 13, 10, 30]"
24,"[45, 42, 47, 15, 3, 30, 10, 34, 36]"
25,"[2, 38, 25, 29, 17, 48, 7, 19, 35, 23]"
26,"[23, 35, 19, 7, 48, 33, 20, 26, 31, 36, 34]"
27,"[13, 34, 36, 31, 26, 33, 20, 28, 6, 38, 25]"
28,"[18, 22, 37, 11, 49, 9, 39, 40, 41, 1, 21, 46, 4]"
29,"[39, 9, 49, 11, 37, 22, 18, 14, 5, 8, 24, 16, 31]"
30,"[49, 9, 39, 40, 41, 1, 21, 46, 4, 43]"
31,"[19, 7, 48, 33, 20, 26, 31, 36, 34, 13]"
32,"[44, 12, 27, 14, 18, 22, 37, 11, 49, 9]"
33,"[32, 39, 9, 49, 11, 37, 22, 18, 14, 5, 8]"
34,"[15, 47, 45, 42, 3, 30, 10, 34, 36, 31, 26, 33, 20]"
35,"[20, 33, 26, 31, 36, 34, 13, 6, 28, 38, 25, 29, 17]"
36,"[43, 4, 46, 21, 1, 41, 40, 9, 49, 39, 32, 11, 37]"
37,"[2, 38, 25, 29, 17, 48, 7, 19, 35, 23]"
38,"[45, 42, 47, 15, 3, 30, 10, 34, 36, 31, 26]"
39,"[49, 9, 39, 40, 41, 1, 21, 46, 4, 43]"
40,"[48, 7, 19, 35, 23, 46, 4, 43, 32, 39, 9, 49]"
