,special,type,interaction_time,x,y
226058160,True,school,5,491.26319823706126,758.9093827876198
226058162,True,school,6,491.1967040337452,761.552997670429
226058165,True,school,6,491.16355274506816,760.2138201439541
341281111,False,normal,30000000,458.65478585805477,809.5300131256107
341281112,False,normal,30000000,458.9558302194529,805.0821506966831
341281113,False,normal,30000000,466.35316661882734,804.5324715529784
341465537,False,normal,30000000,472.36006515286897,826.9283946259008
341465538,False,normal,30000000,471.749544888398,828.2168627104784
341465988,False,normal,30000000,471.01734214815485,823.992570086174
341466282,False,normal,30000000,467.89671361506043,821.299926737442
341466478,False,normal,30000000,467.33528153043926,822.1275272423018
341466479,False,normal,30000000,467.3049407556402,822.6437269478532
341466810,False,normal,30000000,466.52275558115315,823.9088014500906
341466811,False,normal,30000000,466.00594040437045,824.9229902881373
341467226,False,normal,30000000,466.2142378078358,826.1156427421647
341468377,False,normal,30000000,465.6397432212542,826.7115487251749
341468379,False,normal,30000000,464.13432978830195,826.4580015156582
341468381,False,normal,30000000,462.841046277674,826.5493345436067
341468383,False,normal,30000000,456.4648845453962,824.6545944575267
341468385,False,normal,30000000,458.063428188178,824.5066685717608
341469082,False,normal,30000000,457.41879850535616,826.6345039930187
341469083,True,temple,4,460.35125035930776,824.4296238395848
341469084,False,normal,30000000,461.0834530995782,825.1502022073852
341469085,False,normal,30000000,444.85292708636723,818.2301844450658
341469086,False,normal,30000000,442.0321931589806,818.2520371327429
341469087,False,normal,30000000,440.21404618187364,817.5561130792466
341470436,False,normal,30000000,442.93398486154956,807.1906548942158
341470437,False,normal,30000000,444.62029318768754,804.4669134899575
341470438,False,normal,30000000,439.83711794578346,806.2061632983865
341470440,False,normal,30000000,434.07799176011315,809.0512151354862
341470442,False,normal,30000000,458.63389862988424,826.3921632900013
341470444,False,normal,30000000,459.44256012265106,825.7122085082417
341470696,True,temple,4,460.39115646258387,825.8473869928785
341470697,False,normal,30000000,460.1682475807306,827.7041650382104
341470698,False,normal,30000000,461.7110280732246,826.3753535302476
341471218,False,normal,30000000,461.6414678547614,828.2818604481581
341471219,False,normal,30000000,462.6691578039402,828.1148835013421
341471220,False,normal,30000000,463.3446392641946,828.9805861282914
341471222,False,normal,30000000,463.8863658139959,830.288945761886
341471906,False,normal,30000000,463.3634186068647,827.2592667302491
341471909,False,normal,30000000,465.355808319287,828.2196643371042
