,nodes
340068918,"[3472769719, 3472769709, 3472769723, 3472769715, 3472769693, 3472769288, 3472769716, 3472769714, 3472769702, 3472769703, 3472769280, 3472769281, 3472769698, 3472769708, 3472769284]"
340068947,"[3241471540, 3241471554, 3241471618, 3241471677, 3241471719, 5059978166, 3472769430, 3472769452, 3489882331, 3489882330, 3489882336, 3509957740, 3509957742, 3509957743, 3472769506, 3489882249, 3472769521, 3472769579, 3472769249, 3472769274, 3472769719]"
340068952,"[3241471540, 3241471487, 3241471465, 3495929048, 3241471457, 3495929047, 3241471436, 3241471413, 3241471391, 3241471340, 3241471320, 3241471315, 3241471312, 3241471303, 3241471282, 3241471236, 3241471211, 3241471184, 3241471153, 3241471124, 3241471102, 3241471056, 3241471042, 3241471022, 3241471002, 3241470992, 3241470987, 3241470975, 3241470972, 3241470956, 3241470936, 3241470925, 3241470918, 3241470913, 3241470915, 3241470919, 3241470911, 3241470905, 3241470902, 3241470899, 3241470896, 3241470890, 3241470886, 3241470887, 3241470884, 3241470881, 3241470876, 3495906249, 3241470870, 3241470867, 3241470857, 3495906250, 3241470850, 3241470837, 3241470834, 3241470832, 3241470835, 3241470836, 3241470830, 3241470818, 3241470812, 3241470798, 3241470790, 3241470782, 3241470774, 3241470762, 3241470756, 3241470765, 3241470778, 3241470785, 3241470786, 3241470777, 3241470748, 3241470727, 3241470716, 3241470709, 3241470700, 3241470680, 3241470676, 3241470673, 3241470668, 3241470660, 3241470657, 3241470652, 3241470649, 3241470646, 3241470647, 3241470648, 3241470643, 3496030151, 3241470636, 3241470631, 3241470620, 3241470607, 3241470596, 3241470594, 3241470600, 3241470606, 3241470608, 3241470603, 3241470597, 3241470591, 3241470587, 3241470582, 3241470579, 3241470576, 3241470568, 3241470566, 3241470564, 3241470457, 3241470447, 3241470436]"
340068919,"[3241470854, 3472769313, 3472769315, 3472769320, 3472769324, 3472769329, 3472769330, 3472769344, 3472769355, 3472769378, 3472769394, 3472769421, 3472769434, 3472769444, 3472769453, 3472769463, 3472769470]"
340068931,"[3472769284, 3472769267, 3472769271, 3472769259, 3472769265, 3472769282, 3472769283, 3472769707, 3472769721, 3472769739, 3472769740, 3472769731, 3472769287, 3490949162, 3472769695, 3472769729, 3472769730, 3472769748, 3472769743, 3472769735, 3472769737, 3472769755, 3472769742, 3472769745, 3472769756, 3472769757, 3472769744, 3472769741]"
340068938,"[3472769284, 3472769722, 3472769736, 3472769771, 3472769784, 3472769786, 3472769791, 3472769794, 3472769797, 3472769801, 3472769808, 3472769809, 3472769812, 3472769822, 3504093635, 3479304212, 3472769836, 3472769860, 3472769861, 3472769868, 3472769870, 3472769869, 3472769867, 3472769871, 3472769864, 3472769862, 3472769857, 3472769856, 3472769854, 3472769849, 3515914025, 3472769844, 3472769843, 3472769838, 3472769839, 3472769842, 3472769851, 3472769852, 3472769850, 3472769847, 3472769846, 3472769833]"
340068944,"[3241470436, 3241470441, 3241470438, 3241470430, 3241470395, 3241470369, 3241470367, 3241470368, 3241470384, 3241470417, 3241470432, 3241470442, 3241470446, 3241470450, 3241470455, 3241470459, 3241470562, 3241470561, 3241470458, 3241470452, 3241470451, 3241470456, 3241470460, 3241470563, 3241470565, 3241470572, 3241470586, 3241470592, 3241470605, 3241470611, 3241470602, 3241470589, 3241470581, 3241470573, 3241470575, 3241470580, 3241470584, 3241470601, 3241470628, 3241470634, 3241470632, 3241470627, 3241470629, 3241470623, 3241470619, 3241470616, 3241470604, 3241470595, 3241470590, 3241470588, 3241470583, 3241470578, 3241470571, 3241470570, 3241470574, 3241470567, 3241470569, 3241470577, 5059978164, 3241470598, 3241470622, 3241470633, 3241470635, 3241470640, 3241470645, 5059978934, 3472769091, 3472769088, 3472769079, 3472769075, 3472769070]"
340068953,"[3421979495, 3421979487, 3421979488, 3421979490, 3421979491, 3421979504, 3421979534, 3421979573, 3421979582, 3421979586, 3421979568, 3421979546, 3421979522, 3421979503, 3421979484, 3421979482, 3421979479, 3421979477, 3421979475, 3421979474, 3421979460, 5059238238, 3421979448, 3421979442, 3421979436, 3421979433, 3421979420, 3421979416, 3421979411, 3421979409, 3421979405, 3421979406, 3421979410, 3421979412, 3421979413, 3421979414, 3421979417, 3421979419, 3421979421, 3421979424, 3421979427, 3421979428, 3421979434, 3421979439, 3421979447, 3421979452, 3421979459, 3421979461, 3421979457, 3421979455, 3421979444, 3421979438, 3421979431, 3421979426, 3421979429, 3421979423, 3421979415, 3421979408, 3421979402, 3421979400, 3421979398, 3421979394, 3421979389, 5059238239, 3421979383, 3421979379, 3421979376, 3421979371, 3421979365, 3421979362, 3421979360, 3421979359, 3421979363, 3421979366, 3421979370, 3421979369, 3421979368, 3421979367, 3421979361, 3421979358, 3421979355, 3421979350, 3421979345, 3421979336, 3421979329, 3421979322, 3421979316, 3421979315, 3421979308, 3421979299, 3421979281, 3421979268, 3421979262, 3421979259, 3421979263, 3421979267, 3421979276, 3421979280, 3421979279, 3421979275, 3421979269, 3421979265, 3421979255, 3421979250, 3421979241, 3421979225, 3421979196, 3421979191, 3421979175, 3421979160, 3421979149, 3421979141, 3421979131, 5059238240, 3421979130, 3421979127, 3421979124, 3421979123, 3421979118, 3421979114, 3421979112, 3421979111, 3421979113, 3421979115, 3472769435, 3472769425, 3472769418, 3472769413, 3472769408, 3472769411, 3472769389, 3472769380, 3472769376, 3241471540]"
340068955,"[3241470854, 3241470852, 3241470838, 3241470831, 3241470822, 3241470804, 3241470791, 3241470780, 3241470773, 3241470761, 3241470735, 3241470725, 3241470675, 3241470659, 3241470651, 3498818819, 3241470641, 3241470637, 3241470626, 3241470618, 3241470612, 3241470609, 3241470610, 3241470614, 3241470613, 3472769080, 3472769071, 3472769070]"
340068913,"[3472769470, 3492767926, 3472769483, 3472769513, 3472769528, 3472769534, 3472769544, 3472769543, 3472769536, 3472769535, 3472769538, 3472769531, 3421979495]"
