,nodes
171041680,"[3501771559, 3501771558, 1941129994, 1941130209, 1941129794, 1941130037, 1941130089, 1941130430, 3479295490, 3501771555, 3501771554, 1821395384, 1821395223, 1821395164, 1821395289, 1821395395, 1821395157, 1821395421, 1821395187, 1821395414, 5519911664, 3557128237, 1821395322, 5519911661, 1821395337, 1821395308, 5519911663, 1821395334, 1821395350, 1821395328, 5519911662, 1821395373, 1821395227, 1821395161, 3504093570, 1821395370, 1821395200, 1821395209, 3504093643, 1821395263, 1821395361, 1821395194, 1821395247, 1821395356, 1821395153, 1821395190, 1821395302, 1821395347, 1821395225, 1821395159, 1821395419, 1821395408, 1821395273, 1821395344, 1821395156, 1821395248, 1821395306, 1821395277, 1821395182, 1821395310, 1821395214, 5522668818, 1821395348, 1821395211, 5522668819, 3501880002, 3501880004, 3501880006, 1821395206, 5522668820, 5522670321, 1821395166, 1821395162, 5522670322, 1821395189, 5522670323, 1821395152, 1821395357, 1821395148, 1821395207, 3482399308, 1821395376, 1821395359, 1821395388, 1821395168, 5522668817, 1821395382, 3482399310, 1821395324, 1821395184, 1821395271, 5522670324, 1821395173, 3485986746, 1821395244, 6291625037, 5541967889, 1821395402, 1821395341, 1821395409, 5541967834, 1821395303, 5541967832, 5541967833, 5541967831, 360698520]"
216927437,"[1941129959, 2262423358, 2262423362, 2262423367, 2262423365, 2262423366, 2262423361, 2262423364, 2262423378, 2262423373, 2262423369, 2262423371, 3383501171, 2262423380, 2262423376, 2262423374, 2262423375, 2262423399, 2262423377, 2262423390, 2262423387, 2262423393, 2262423386, 2262423388, 2262423397, 2262423394, 2262423385, 2262423395, 3479473703, 3479464283, 3479464284, 3479464286, 3479464287, 3479464288, 3479464289, 3479464290, 3479464291, 3479464292, 3479464294, 3479464295, 3479464297, 3479464298, 3479464299, 3479464300, 3479464301, 3479464302, 3479464303, 3479464304, 3479464305, 3479464307, 3479464308, 3479464309, 3479464310, 3479464312, 3479464314, 3479464315, 3479464317, 3479464283]"
311604646,"[3172999124, 3501431904, 3173011694, 3173010304, 3501431914, 3173011227, 3501431920, 3173009915, 3501431921, 3480333518, 3173010742, 3173011189, 3501431917, 3173011257, 3173011244, 5502420569, 3173010689, 3173011200, 3494319353, 3173011206, 3173011709, 3173011734, 3173011743, 3173009897, 3173009900, 3173009958, 3501425338, 3173010282, 3173010298, 3501425335, 3501425334, 3173010307, 3173010314, 3501425332, 3501425330, 3173010283, 3501425326, 3173010290, 3501425321, 3501425319, 3501425313, 3173010312, 3501425312, 3173010685, 3173010688, 3501425316, 3173010699, 3370641313, 3501425309, 5502420574, 3173010708, 3173010712, 3173010725, 3501425303, 3173010727, 3173010736, 3501425294, 3173010741, 3501420390, 3173011234, 3173011259, 3501420391, 3501420392, 3501425293, 3173011685, 3173011691, 3501425295, 3173011699, 3173011704, 3501425300, 3501425297, 3501425299, 3173011708, 3499376082, 3499376086, 3499376088, 3499376091, 3499376894, 3499376896, 3499376899, 3499376913, 3499376921, 3499376926, 3499376928, 3499376925, 3499376929, 3499376960, 3499376963, 3499376953, 3499376938, 3499376934, 3499376933, 3499376917, 3499376912, 3499376909, 3499376906, 3370635235, 3173009889, 3499376903, 3499376901, 3499376905, 3499376907, 3499376931, 3499376940, 3499376942, 3499376946, 3499376955, 3499376950, 3499376959, 3499376968, 3499376971, 3499376973, 3499376976, 3499376978, 3499376984, 3499376980, 3499376982, 3499376991, 3499376993, 3499376995, 3499376997, 3499377001, 3499377003, 3499377006, 3499377008, 3499377010, 3499377012, 3499377014, 3499377032, 3499377033, 3499377024, 3499377027, 3499377018, 3499377030, 3499377043, 3499377045, 3499377039, 3499377036, 3499377038, 3499377044, 3499377049, 3499377050, 3173011670, 3173011687, 3173011690, 3173011698, 3173011710, 3173011727, 3502934648, 3173011731, 3173011737, 3502934649, 3502934651, 3502934652, 3173003048, 3173009903, 3173009910, 3489599015, 3173009918, 3489599017, 5507208027, 3489599018, 3502934653, 3502934654, 3173009930, 3489575322, 3489575311, 3489575340, 3489575332, 3489575337, 3489575336, 3489575330, 3489575343, 3489575327, 3173010328, 3489575326, 3173010340, 3173010348, 3173010353, 3173010357, 3173010669, 5507208030, 5507208031, 3173010744, 5507208029, 3173010749, 3173011164, 3542011703, 3172840518]"
330099360,"[3370641313, 3370641312, 3370641310, 3370641308, 5502420573, 3370641306, 5502420572, 3370641304, 5502420570, 5502420571, 3370641302, 3370641301, 3370641300, 3370641299, 3370641092]"
340681823,"[3479295490, 3501771562, 3501771563, 3479295492, 3479308695, 3479308696, 3479308697, 3479308699, 3479308700, 3479308701, 3479308702, 3479308705, 3501778987, 3479308709, 3479308711, 3501795452, 3479308712, 3479308714, 3501778989, 3501778990, 3479308718, 3501778992, 3479308722, 3501778993, 3479308725, 3479308727, 3501795470, 3479308731, 3557128239, 3557128241, 3479304206]"
340697893,"[3172968648, 3479473771, 3479473772, 3479473773, 3479473774, 3479473775, 3479473777, 3479473778, 3479473779, 3479473780, 3479473782, 3479473783, 3479473784, 3479473785, 3484050693, 3479473786, 3479473788, 3479473789, 3479473790, 3479473791, 3479473792, 3479474093, 3479474094, 3479474095, 3491210464, 3479474096, 3479474098, 3479474099, 3479474100, 3484071883, 3499881205, 3479474103, 3479474104, 3479474105, 3479474106, 3479474107, 3479474109, 3484072294]"
340697895,"[3479474316, 3491212060, 3479474346, 3479474347, 3479474348, 3479474349, 3491212001, 3479474350, 3491211978, 3491211965, 3491211956, 3491211943, 3491211929, 3491211920, 3491211909]"
340699432,"[3479490527, 3479490528, 3479490529, 3486638255, 3479490530, 3479490531, 3479490532, 3479490533, 3488961446, 3479490534, 3479490535]"
340699438,"[3479490594, 3479490595]"
340699439,"[3479490594, 3479490596, 3479490597, 3479490598, 3479490599, 3479490600, 3479474121]"
340699440,"[3479490595, 3479490601, 3479490602, 3479490605, 3479490603, 3479490604]"
340699441,"[3479490605, 3479490606, 3479490607, 3479490608, 3479490609, 3491106592, 3479490610, 3479490611, 3491106577, 3491106565]"
340699442,"[3479490604, 3479490613, 3479490614, 3479490615, 3479490616, 3491106565, 3479490618, 3479490619, 3479490620, 3479490621, 3479490622, 3479490623, 3479490624, 3479490625, 3479490626, 3479490627, 3479490628, 3479490629, 3479490630, 3479490631, 3479490632, 3479490633]"
340699448,"[3479490677, 3479490678, 3479490679, 3479490681, 3479490682, 3479490683, 3479490684, 3479490686, 3479490688, 3479490690, 3479490692, 3479490693, 3479490694, 3479490695, 3479490696, 3479490697, 3479490699, 3479490701, 3479490702, 3479490703, 3479490705, 3499843178, 3479490710, 3479490712, 3479490714, 3479490716, 3479490718, 3479490720, 3479490723, 3479490724, 3479490726, 3479490727, 3479490729, 3479490730, 3479490732, 3479490733, 3479490734, 3479490736, 3479490737, 3479490739, 3479490741, 3479490743, 3479490746, 3479490748, 3479490750, 3479490751, 3479490752, 3479490753, 3479490757, 3479490759, 3479490761, 3479490762]"
340700711,"[3172968605, 3491108593, 3491108389, 3479499513, 3479499514, 3491108382, 3491108383, 3479499515, 3479499516, 3491108369, 3491108372, 3479499517, 3479499518, 3479499519, 3491108355, 3491212063, 3479499520, 3479499521, 3491108319, 3479499522, 3479499523, 3491212015, 3479499524, 3479499525, 3479499526, 3479499527, 3479499528, 3491211902, 3491211891, 3479499529, 3479499530, 3479499531, 3479499532, 3479499533]"
340700713,"[3479474299, 3479499545, 3489141935, 3479499546, 5498420447, 3479499547, 3479499548, 3479499549, 3489141936, 3489141937, 3479499550, 3479499551, 3479499552, 3489141933, 3479499553, 3479499554, 3479499555, 3479499556, 3479499557, 3479499558, 3479499559, 3479499560, 5520055221, 5520055222, 3479499561]"
340700714,"[3479499554, 3491108256, 3479499562, 3491108227, 3491108216, 3491108215, 3491108204, 3479499563, 3479499564, 3479499565, 3479499566, 3479499567, 3479499568, 3479499569, 3479499570, 3479499571, 5519934501, 3479499572, 5519934500, 3479499573, 3479499574, 3479499575, 3479499576, 3479499577, 3479499578, 3479499579, 3491107679, 3491107678, 3479499580, 3488961440, 3479499581, 3479499582, 3479499583]"
340702634,"[3479514856, 3479514857, 3479514858, 3479514859, 3479514860, 3479514861, 3479514862, 3479514863, 3479514864, 3479514865, 3479514866, 3479514867, 3479514868, 3479514869, 3479514870, 3479514871, 3479514872, 3479515385, 3479514873, 3479514874, 3479514875, 3479514876, 3479514877, 3479514878, 3479514879, 3479514880, 3479514881, 3479514882, 3479514883, 3479514884, 3479514885, 3479514886, 3479514887, 3479514888, 3479514889, 3479514890, 3479514891, 3479514892, 3479515093, 3479515094, 3479515095, 3479515096, 3479515097, 3479515098, 3479515099, 3479515100, 3479515101, 3479515102, 3479515103, 3479515104, 3479515105, 3479515106, 3479515107, 3479515108, 3479515109, 3479515110, 3479515111, 3479515112, 3479515113, 3479515114, 3479515115, 3479515116, 3479515117, 3479515118, 3479515119, 3479515120, 3479515121, 3479515122, 3479515123, 3479515124, 3479515125, 3479515126, 3479515127, 3479515128, 3479515129, 3479515130, 3479515131, 3479515132, 3479515133, 3479515134, 3479515135, 3479515136, 3479515137, 3479515138, 3479515139, 3479515140, 3479515141, 3479515142, 3479515143, 3479515144, 3479515145, 3479515146, 3479515147, 3479515148, 3479515149, 3479515150, 3479515151, 3479515152, 3479515153, 3479515154, 3479515155, 3479515156, 3479515157, 3479515158, 3479515159, 3479515160, 3479515161, 3479515162, 3501750692, 3479515163, 3479515164, 3479515165, 3479515166, 3479515167, 3479515168, 3479515169, 3479515170, 3479515171, 3479515172, 3479515173, 3479515174, 3479515175, 3479515176, 3479515177, 3479515178, 3479515179, 3479515180, 3479515181, 3479515182, 3479515183, 3479515184, 3479515185, 3479515186, 3479515187, 3479515188, 3479515189, 3479515190, 3479515191, 3479515192, 3479515293, 3479515294, 3479515295, 3479515296, 3501750691, 3479515297, 3501750690, 3479515298, 3493860225, 3479515299, 3479515300]"
340702635,"[3479514887, 3479515301, 3479515302, 3479515303, 3479515304, 3479515305, 3479515306, 3479515307, 3479515308, 3479515309, 3479515310, 3479515311, 3479515312, 3479515313, 3479515314, 3479515315, 3479515316, 3479515317, 3479515369, 3479515318, 3479515319, 3479515320, 3479515321, 3479515322, 3479515323, 3479515324, 3479515356, 3479515325, 3479515326, 3479515327, 3479515328, 3479515329, 3479515330, 3479515331, 3479515332, 3479515333, 3479515334, 3479515335, 3479515336, 3479515337, 3479515338, 3479515339, 3479515340]"
340702637,"[3479515356, 3479515357, 3479515358]"
340702638,"[3479515359, 3479515360, 3479515361, 3479515362, 3479515358, 3479515363, 3479515364, 3479515365, 3479515366, 3479515367, 3479515368, 3479515369]"
340702639,"[3479515104, 3479515370, 3479515371, 3479515372, 3479515373, 3479515374, 3479515375, 3479515376, 3479515377, 3479515378, 3479515379, 3479515380, 3479515381, 3479515382, 3479515383, 3479515384, 3479515385]"
340702641,"[3479515136, 3479515497, 3479515498, 3479515499, 3479515500, 3479515501, 3479515502, 3479515503, 3479515504, 3479515505, 3479515506, 3479515507, 3479515508, 3479515509, 3479515510, 3479515511, 3479515512, 3479515513, 3479515514, 3479515515, 3479515516, 3479515517, 3479515518, 3479515519, 3479515520, 3479515521, 3491210434, 3479515522, 3491210437, 3491210439, 3479515523, 3491210447, 3491210449, 3491210450, 3479515524, 3491210454, 3491210459, 3479515525]"
340702646,"[3479526506, 3479526507, 3479526508, 3479526509, 3479526510, 3479526511, 3479526512, 3479526513, 3479526514, 3479526515, 3479526516, 3479526517, 3479526518, 3479526519, 3479526520, 3479526521, 3485351904]"
340703420,"[3479526181, 3479526182, 3479526183, 3479526184, 3479526185, 3479526186, 3479526187, 3479526188, 3479526189, 3479526190, 3479526191, 3479526192, 3479526293, 3479526294, 3479526295, 3479526296, 3479526297, 3479526298, 3479526299, 3479526300, 3479526301, 3479526302, 3479526303, 3479526304]"
340704424,"[3479537355, 3479537356, 3479537357, 3479537358, 3479537359, 3479537360, 3479537361, 3479537362, 3479537363, 3479537364, 3479537365, 3479537366, 3479537367, 3479537368, 3479537369, 3479537370, 3479537371, 3486696662, 3484332321, 3479537372, 3479537373, 3479537374, 3479537375, 3479537376, 3479537377, 3479537378, 3479537379, 3479537380, 3479537381, 3479537382, 3479537383, 3479537384, 3479537385, 3479537386, 3479537387, 3479537388, 3479537389, 3479537390, 3479537391, 3479537392, 3479537393, 3479537394, 3479537395, 3479537396, 3479537397, 3479537398, 3479537399, 3479537400, 3479537401, 3479537402, 3479537403, 3479537404, 3479537405, 3479537406, 3479537407, 3479537408, 3479537409, 3479537410, 3479537411, 3479537412, 3479537413, 3479537414, 3479537415, 3479537416, 3479537417, 3479537418, 3479537419, 3479537420, 3479537421, 3479537422, 3479537423, 3479537424, 3479537425, 3485769202, 3479537426, 3479537427, 3479537428, 3479537429, 3479537430, 3479537431, 3485769090, 3479537432, 3479537433, 3479537434, 3479537435, 3479537436, 3479537437, 3479537438, 3479537439, 3479537440, 3479537441]"
341191662,"[3484028478, 3484028479, 3484029920, 3484028483, 3484028486, 3484028487, 5498461009, 3484028491, 3484029894, 3484029898, 3484029900, 3484029902, 3484029903, 3484029906, 3491211826, 3484029919, 3484029917, 3484029915, 3484029914, 3484029910, 3484029908, 3484028483]"
341191666,"[3505689383, 3499799348, 3499799349, 3499799351, 3499799352, 3486638211, 3499799356, 3499799357, 3499799358, 3499799360, 3486638215, 3485743133, 3485743138, 3491211748, 3485743150, 3485743157, 3485743154, 3485743152, 3485743148, 3499793177, 3484029920]"
341191668,"[3484029969, 3484029970, 3484029971, 3484029972]"
341191895,"[3484026761, 3484026762, 3484026763, 3484026764, 3484026765, 3484026766, 3484026767, 3484026768, 3484026769, 3484026770, 3484026771, 3484026772, 3484026773, 3484026774, 3484026775, 3484026776, 3484026777, 3484026778, 3484026779, 3488903165, 3488903166, 3488903167, 3488903168, 3488903169, 3488903170, 3488903171, 3488903172, 3488903173, 3488903174, 3488903175, 3488903176, 3488903177, 3488903178]"
341192117,"[3479490555, 3491108059, 3484031021, 3484031022, 3484031023, 3484031024, 3484031025, 3484031026, 3484031027, 3484031028, 3484031029, 3484031030, 3484031042, 3484031031]"
341192118,"[3484031032, 3484031033, 3484031034, 3484031035, 3484031036, 3484031037, 3484031038, 3484031039, 3484031040, 3484031041, 3484031042]"
